3c2tA3.pdb1	3c2tA2.pdb1	1276.35
5c25A1.pdb1	5c25B1.pdb1	2546.45
3c2uD1.pdb1	3c2uB1.pdb1	1023.2
3c2uD1.pdb1	3c2uC1.pdb1	2026.95
3c2uA1.pdb1	3c2uB1.pdb1	2020.85
3c2uA1.pdb1	3c2uC1.pdb1	1031.45
3c2fA6.pdb1	3c2fA2.pdb1	763.35
3c2fA6.pdb1	3c2fA5.pdb1	2327.8
3c2fA6.pdb1	3c2fA3.pdb1	837.9
3c2fA6.pdb1	3c2fA1.pdb1	26.5
3c2fA6.pdb1	3c2fA4.pdb1	763.35
3c2fA2.pdb1	3c2fA5.pdb1	837.9
3c2fA2.pdb1	3c2fA3.pdb1	26.5
3c2fA2.pdb1	3c2fA1.pdb1	2327.9
