3utaD1.pdb1	3utaI1.pdb1	395.9
3utaD1.pdb1	3utaG1.pdb1	62.15
3utaD1.pdb1	3utaC1.pdb1	2511.85
3utaH1.pdb1	3utaI1.pdb1	324.35
3utaH1.pdb1	3utaG1.pdb1	2484.25
3utaH1.pdb1	3utaC1.pdb1	51.55
3utaI1.pdb1	3utaG1.pdb1	509.2
3utaI1.pdb1	3utaC1.pdb1	371.85
3utaG1.pdb1	3utaC1.pdb1	149.05
4ut7L1.pdb1	4ut7H1.pdb1	1114.0
4ut6I1.pdb2	4ut6M1.pdb2	1075.45
4ut6I1.pdb2	4ut6B1.pdb2	545.65
4ut6M1.pdb2	4ut6B1.pdb2	62.3
5utjA1.pdb1	5utjA2.pdb1	1547.5
5utmB1.pdb1	5utmC1.pdb1	555.75
5utmB1.pdb1	5utmD1.pdb1	1401.75
5utmB1.pdb1	5utmA1.pdb1	1959.7
5utmC1.pdb1	5utmD1.pdb1	1944.7
