5j93A24.pdb1	5j93A3.pdb1	1356.6
5j93A24.pdb1	5j93A23.pdb1	41.05
5j93A24.pdb1	5j93A8.pdb1	570.15
5j93A24.pdb1	5j93A19.pdb1	678.15
5j93A14.pdb1	5j93A11.pdb1	1356.6
5j93A14.pdb1	5j93A3.pdb1	569.75
5j93A14.pdb1	5j93A13.pdb1	40.5
5j93A14.pdb1	5j93A4.pdb1	569.75
5j93A14.pdb1	5j93A19.pdb1	675.9
5j93A18.pdb1	5j93A9.pdb1	570.15
5j93A18.pdb1	5j93A23.pdb1	678.15
5j93A18.pdb1	5j93A8.pdb1	1352.8
5j93A18.pdb1	5j93A16.pdb1	675.9
5j93A18.pdb1	5j93A10.pdb1	566.2
5j93A18.pdb1	5j93A17.pdb1	40.8
5j93A11.pdb1	5j93A20.pdb1	566.2
5j93A11.pdb1	5j93A4.pdb1	677.05
5j93A11.pdb1	5j93A19.pdb1	570.15
5j93A20.pdb1	5j93A22.pdb1	678.15
5j93A20.pdb1	5j93A15.pdb1	675.9
