4xd9A1.pdb1	4xd9B1.pdb1	2725.1
1xdoA1.pdb2	1xdoB1.pdb2	1607.4
4xdjD1.pdb2	4xdjC1.pdb2	4518.5
1xdkH1.pdb3	1xdkF1.pdb3	502.4
1xdkD1.pdb3	1xdkB1.pdb3	502.85
1xdkB1.pdb3	1xdkF1.pdb3	878.2
1xdkB1.pdb3	1xdkA1.pdb3	1200.85
1xdkB1.pdb3	1xdkE1.pdb3	197.1
1xdkF1.pdb3	1xdkA1.pdb3	196.5
1xdkF1.pdb3	1xdkE1.pdb3	1202.2
1xdkA1.pdb3	1xdkC1.pdb3	597.3
1xdkE1.pdb3	1xdkG1.pdb3	597.85
4xdlD1.pdb2	4xdlC1.pdb2	4969.75
1xdsA1.pdb1	1xdsB1.pdb1	3555.3
1xdtT1.pdb1	1xdtT2.pdb1	3989.5
1xdtT1.pdb1	1xdtR2.pdb1	87.8
1xdtT1.pdb1	1xdtR1.pdb1	1083.75
1xdtT2.pdb1	1xdtR2.pdb1	1083.75
1xdtT2.pdb1	1xdtR1.pdb1	87.8
4xdvG1.pdb3	4xdvH1.pdb3	1395.5
4xdyB1.pdb1	4xdyA1.pdb1	6095.25
5xdoB1.pdb1	5xdoA1.pdb1	104.95
1xduA2.pdb2	1xduA1.pdb2	3548.9
5xdxY1.pdb2	5xdxW1.pdb2	108.95
5xdxY1.pdb2	5xdxZ1.pdb2	755.05
5xdxY1.pdb2	5xdxP1.pdb2	21.85
5xdxY1.pdb2	5xdxN1.pdb2	1694.85
5xdxV1.pdb2	5xdxX1.pdb2	107.8
5xdxV1.pdb2	5xdxQ1.pdb2	404.9
