2wvwK1.pdb1	2wvwD1.pdb1	281.25
2wvwK1.pdb1	2wvwL1.pdb1	2279.2
2wvwD1.pdb1	2wvwL1.pdb1	321.75
2wv7B1.pdb1	2wv7A1.pdb1	1514.4
5wveU1.pdb1	5wveR1.pdb1	497.25
5wveU1.pdb1	5wveT1.pdb1	142.25
5wveU1.pdb1	5wveQ1.pdb1	469.85
5wveU1.pdb1	5wveV1.pdb1	130.9
5wveH1.pdb1	5wveG1.pdb1	848.15
5wveM1.pdb1	5wveP1.pdb1	22.05
5wveM1.pdb1	5wveA1.pdb1	1417.4
5wveM1.pdb1	5wveN1.pdb1	849.25
5wveM1.pdb1	5wveK1.pdb1	1414.4
5wveP1.pdb1	5wveO1.pdb1	110.0
5wveP1.pdb1	5wveS1.pdb1	456.3
5wveP1.pdb1	5wveA1.pdb1	390.25
5wveP1.pdb1	5wveT1.pdb1	431.35
5wveP1.pdb1	5wveQ1.pdb1	99.75
5wveO1.pdb1	5wveG1.pdb1	237.7
5wveO1.pdb1	5wveS1.pdb1	489.6
5wveO1.pdb1	5wveR1.pdb1	54.25
